,url
0,B00X9ZPZFI
1,B017PUA2HS
2,B00WXLQBEI
3,B00T6T6NDE
4,B00JK00S0S
5,B0039HH2S4
6,B00OHVZTTK
7,B000GDF2J0
8,B071R581R8
9,B00861XLOW
10,B01MTD0LE5
11,B00O8J0L30
12,B01CRS6YTS
13,B01N7CSP0S
14,B000BY4ZHO
15,B01M8QO6JD
16,B0175ZSF2W
17,B01ASPG6R2
18,B071D8WNTS
19,B01M078S1K
20,B00RYRGWX6
21,B00URAJR9S
22,B004W05JQ4
23,0439320232
24,B00W5ESV6E
25,B00861I12E
26,B002LVUIK8
27,B00J4DU9GO
28,B00EDJDFYW
29,B00MPH1M80
30,B00IS38HJC
31,B01IHFE5N2
32,B00NG6CKSU
33,B01N5BK5IO
34,B0151SVU5O
35,B01F1T1L8E
36,B01CLSRI76
37,B01IU5ZTKC
38,B002I0J51U
39,B01ER3LAX6
40,B00A7QA0Q6
41,B013FAB9G0
42,B009R9FUI2
43,B001N5O1ZQ
44,B0165SULNQ
45,B016B4DYHY
46,B015KTJBAA
47,B00OH4ID9U
48,B0050B6CYW
49,B01M9HLU9V
50,B0029W2ZUU
51,B000VTQ3LU
52,B00UKPBXM4
53,B01L6IXOGG
54,B014AHPU0S
55,B002VA1ZTC
56,B01IVIW22Q
57,B00SD8IOUY
58,B005PYOYXA
59,B00JA8ZJF4
60,B00IZWMCMO
61,B01CCGJ41A
62,B06XW1JHLW
63,B074L7XJC5
64,B016A84WEA
65,B00AVSEFO8
